001001:0:  te:  %agira% pu0<vp> na gIryyate duHKena</vp><vkr> gF-bA0 ka</vkr> na0 ta0.(1) svarge.</1><page>vp1_052.pdf</page><column>1</column><br/>
001002:1:  te:  %agirOkas% pu0<vg> agiraH svarga oko vAsasTAnaM yasya.</vg>(1) deve.</1><page>vp1_052.pdf</page><column>1</column><br/>
001003:0:  te:  %agu% pu0<vp> na gOH kiraRo'sya.<vp> (1) rAhugrahe sUryyAlokABAve
001004:0:  te: tamasi. (2) goSUnye tri0.</2><page>vp1_052.pdf</page><column>1</column><br/>
001005:0:  te:  %aguRa% pu0 na0 ta0. (1) guRaviroDini doze.</1><reN> <q>tadvaH sarvaM pravakzyAmi
001006:0:  te: prasave ca guRAguRamiti<q> smftiH </reN>na0 ba0. (2) guRarahite tri
001007:0:  te: BaktiprItipraRayasahitaM mAnadamBAdyapetaM ceto'smAkaM guRavada
001008:0:  te: guRaM goduhAM dehametat<q> ityudDavadUtaH.</reN2><page>vp1_052.pdf</page><column>1</column><br/>
001009:0:  te:  %aguru% na0<vg> na gururyasmAt.</vg> (1) svanAmaprasidDe agurucandane
001010:0:  te: DUpEScAguruganDiBiriti<q></reN> (2) SiMSapA vfkze (SiSu) ca. (3) guru
001011:2:  te: Binne, (4) upadeSakaSUnye tri0. (5) guruvarRaBinne laGuvarRe pu
001012:0:  te: agurucaguzkaM Bavati gurU dvO Ganakucayugme, SaSivadanA
001013:0:  te: sAviti<q> SrutaboDaH.</reN> (6) gOravarahite (7) gOravaviparItalAGava
001014:0:  te: vati tri0.</7><page>vp1_052.pdf</page><column>1</column><br/>
001015:0:  te:  %aguruSiMSapA% strI<vg> aguruH sAro yasyAH tAdfSI SiMSapA
001016:0:  te: maDyapadalopita0. (1)(SiSu) iti prasidDe SiMSapAvfkze.</1><page>vp1_052.pdf</page><column>2</column><br/>
001017:0:  te:  %agUQaganDa% na0<vg> na gUQo ganDo yasya</vg> 6 ba0. (1) hiNgudravye.</1><vn> tanni
001018:0:  te: ryAsasyotkawaganDatvAttaTA.</vn> (2) aguhyasOraBe dravyamAtre tri0.</2><page>vp1_052.pdf</page><column>2</column><br/>
001019:2:  te:  %agfBIta% tri0<vp> na gfhItam CAndasatvAt hasya BaH.</vp>(1) agf
001020:0:  te: hIte,</1><reN> <q>jayajaya jahyajAmagfBItaguRAmiti, BAga0 Sru0.</reN><page>vp1_052.pdf</page><column>2</column><br/>
001021:0:  te:  %agOkas% pu0 <vg>agaH parvata okaH sTAnaM yasya.</vg>(1) SaraBe paSO
001022:0:  te: parvatavAsini tri0.</1><page>vp1_052.pdf</page><column>2</column><br/>
001023:0:  te:  %agnAmarut% pu0 dvi0<vkr> dva AnaN.</vkr>(1) ekahaviruddeSyayo
001024:0:  te: stannAmnordevayoH.</1><vkr> tO devate asya aR.</vkr>(2) AgnimA
001025:0:  te: rutaM haviH.</2><page>vp1_052.pdf</page><column>2</column><br/>
001026:0:  te:  %agnAvizRu% pu0 dvi0<vkr> dva0 AnaN.</vkr>(1) ekahavirBoktrostannAmakayordevayoH.</1><page>vp1_052.pdf</page><column>2</column><br/>
001027:0:  te:  %agnAyI% strI<vkr> agni+EN+NIz. </vkr>(1)agneryoziti svAhA
001028:0:  te: KyAyAm.</1><reN> <q>varuRAnI nacAgnAyI tasyAH simantinI
001029:0:  te: samevi<q> BawwiH.</reN><reN2> sA ca dakzakanyA tasyAScAgnipriyatAkaTA
001030:0:  te: mahABArate <q>dakzasyAhaM priyA kanyA svAhA nAma mahA
001031:0:  te: Buja !.. bAlyAd praBfti nityaYca jAtakAmA hutASane
001032:1:  te: sa na me kAmanAM putra ! samyag jAnAti pAvakaH. icCAmi
001033:1:  te: SASvataM vAsaM vastuM putra ! sahAgninA. skanda uvAca
001034:0:  te: havyaM kavyaYca yat kiYciddvijAnAmATa saMskftam
001035:0:  te: hozyantyagnO sadA devi ! svAhetyuktvA samudDftam. adya
001036:0:  te: praBfti dAsyanti suvfttAH satpaTe sTitAH. evamagnistvayA
001037:0:  te: sArdDaM sadA vatsyati SoBane<q>! vana0 mArka0 pa0.</reN2><page>vp1_052.pdf</page><column>2</column><br/>
001038:0:  te:  %agni% pu0<vp> aNgati UrdDvaM gacCati</vp><vkr> agi+ni nalopaH.</vkr> (1) agnO
001039:0:  te: svanAmaprasidDe tejoBede,</1><reN><q> tejasi AkASAdvAyurvAyo
001040:0:  te: ragniragnerApodByaH pfTivI, iti<q> SrutiH.</reN><vn> tatra
001041:0:  te: tejaHpadArTastAvaddviviDaH sUkzmaH sTUlaSca. sUkzma
001042:0:  te: vAyusaMBUtaH sUkzmavAyusaMBUtaH sUkzmaH paYcIkftastu
001043:0:  te: sTUlaH</vn><reN> <q>tAsAM trivftaM trivftamekEkAM karotIti
001044:0:  te: SrutO trivftkaraRasya paYcIkaraRasyApyulakzaRatvam
001045:0:  te: paYcIkaraRaprakAraSca paYcIkaraRaSabde vakzyate. taTA
001046:0:  te: ca BUtAntarAzwamaBAgamiSritena svasvArdDaBAgena utpannaH
001047:0:  te: paYcIkftaH.</vn><reN> tasya ca paYcAtmakatve'pi <q>vESezyAttadvAda
001048:0:  te: iti<q> SArIrakokteH BUyastvAt tEjasatvavyavahAraH
001049:0:  te: so'yaM sTUlo vahniH prakArAntareRa triviDaH BOmaH
001050:0:  te: divyaH jAWaraScetiBedAt. tatra pArTivakAzWAdi
001051:0:  te: praBavaH BOmaH mahAnasAdyagniH, jalavAyvAdiBavaH divyaH
001052:0:  te: vidyudulkAvajrAdiH. uBAvapi UrdDvajvalanasvaBAvaH. udare
001053:0:  te: BavastftIyaH. trayo'pyamI svasaMyuktapAkadAhaprakASana
001054:0:  te: samarTAH.</vn><reN> sarvve'pyamI loke SAstre ca vahnyAdiSabdena
001055:1:  te: vyavahriyante tezAM viSezaguRAH SabdasparSarUpARi <q>yoyo
001056:0:  te: yAvatiTaScEzAM sasa tAvadguRaH smftaH<q> iti manunA
001057:0:  te: BUtamaDye tftIyasya tejasaH triguRatvamuktaM vyaktamuktaM
001058:0:  te: mahABArate SabdaH sparSaSca rUpaYca tejaso'Ta guRAstraya
001059:0:  te: iti <q>ata eva <q>vahnO BfgaBugaDvaniriti<q> paYcadaSyAmuktam
001060:0:  te: vahneSca tejojalaBUmyAtmakatvena lohitaSuklarUpatvam ata
001061:0:  te: eva CAndogye trivftkaraRAnantaram vahnestrirUpatvamuktaM
