353501:1:  te:  %Bfti% strI <vkr>Bf-ktin.</vkr> (1)BaraRe (2)pozaRe ca karaRe ktin
353502:2:  te: vetane amaraH (4)mUlye ca medi0.</4> <vn>BftyaBedAnAM Bfti
353503:0:  te: dAnaprakArAdikaM SukranItisAre uktaM yaTA
353504:1:  te: kAlamAnaM triDA jYeyaM cAndraM sOraM ca sAbanam
353505:2:  te: DftidAne sadA sOraM cAndraM kOsIdabudDizu. kalpayet
353506:1:  te: sAvanaM nitya dinaBftye'vaDO sadA. kAryyamAnA kAla
353507:2:  te: mAnA kAryya kAlamitistriDA. BftiruktA tu tadvittEH
353508:1:  te: sA devA BAzitA yaTA ayaM BArastvayA tatra sTApya
353509:2:  te: stEtAvatIM Bftim. dAsyAmi kAryyamAnA sA kIrttitA
353510:1:  te: tannideSakEH. vatsare vatsare vApi mAsi mAsi dine
353511:0:  te: dine. etAvatIM Bf taM te'haM dAsyAmIti ca kAlikI
353512:1:  te: etAvatA kAryyamidaM kAlenApi tvayA kftam. BftimetA
353513:2:  te: vatIM dAsye kAryyakAlAmatA ca sA. na kuryyAd Bfti
353514:3:  te: lopaM tu taTA Bftivantambanam. avaSyapozyaBaraRA
353515:2:  te: BftirmaDyA prakIrttitA paripozyA BftiH SrezWA sa cA
353516:3:  te: cCAdanArTikA. Bavedekasya BaraRaM yaTA sA hIna
353517:2:  te: saMjYikA. yaTA yaTA tu guRAvAn BftakastaduBftistaTA
353518:1:  te: saMyojyA tu prayatnena nfpeRAtmahitAya vE. avaSya
353519:1:  te: pozyavargasya BaraRaM BftakAdBavet. taTA Bftistu saMyojyA
353520:4:  te: tadyombA BftakAya vE. ve BftyA hInaBftikAH Satravaste
353521:0:  te: svayaM kftAH . parasya sADakAste tu Cidre koSaprajA
353522:0:  te: harAH. annAcCAdanamAtrA hi BftiH SUdrAdizu smftA
353523:4:  te: tatpApaBAgamyaTA syAt pozako mamaBojizu. yad
