132501:0:  te:  %kalaSapotaka% pu0 (1)nAgaBede <reN>`AryyakaScograkaScEva nAgaH kalaSa
132502:1:  te: potakaH' BA0 A0 35 a0.</reN></1><page>vp3_199.pdf</page><column>1</column><br/>
132503:0:  te:  %kalaSi% strI <vkr><vg>kaM jalaM lAti</vg> lA--ka taTA satI SIryyati
132504:1:  te: bA0 SF--qi. (cAkuliyA)</vkr> (1)pfSniparRyAm amaraH (2)Gawe
132505:1:  te: hemaca0 <reN>`kalaSimudaDigurvIM vallavA loqayanti' mAGaH.</reN> <vkr>asya
132506:0:  te: kfdikArAntatvAt vA NIp kalaSItyapyuBayatra.</vkr></2><page>vp3_199.pdf</page><column>1</column><br/>
132507:0:  te:  %kalaSIkaRWa% tri0 <vg>kalaSyAH kaRWa iva kaRWo'sya.</vg> (1)kalaSI
132508:0:  te: kaRWatulyakaRWAnvite (2)fziBede pu0 <vkr>tataH gotrapratyayasya
132509:0:  te: bahuzu upakA0 vA luk. kAlaSIkaRWayaH kalaSIkaRWAH</vkr></2><page>vp3_199.pdf</page><column>1</column><br/>
132510:0:  te:  %kalaSIpadI% strI <vkr><vg>kalaSIva pAdAvasyAH</vg> antyalopaH samA
132511:0:  te: kumBapadyA0 NIp padBAvaSca.</vkr> (1)kumBAkArapAdayutAyAM
132512:0:  te: striyAm. <vn></vn></1><page>vp3_199.pdf</page><column>1</column><br/>
132513:0:  te:  %kalaSI(sI)suta% pu0 <vg>kalaSyAH (syAH) suta iva tatrotpannatvAt. agastye munO kumBasamBavaSabde tatkaTA.</vg><page>vp3_199.pdf</page><column>1</column><br/>
132514:0:  te:  %kalaSodara% pu0 <vg>kalaSa iva udaramasya.</vg> (1)dAnavaBede <reN>`subAhuH
132515:2:  te: KaYjavAhuSca varuRaH kalaSodaraH' harivaM
132516:0:  te: kumBakArodarayukte tri0 <vkr>striyAM vA NIp.</vkr></2><page>vp3_199.pdf</page><column>1</column><br/>
132517:0:  te:  %kalasa% pu0 <vkr><vg>kena jalena lasati</vg> lasa--ac. 3ta0.</vkr> (1)Gawe
132518:0:  te: hemaca0. <vn>tannAmaniruktiH <reN>`kalAM kalAM gfhItvA tu
132519:1:  te: devAnAM viSvakarmaRA. nirmito'yaM sa vE yasmAt kalasastena
132520:2:  te: kaTyate' nirvARata0 uktA.</reN> <reN>`sAgare maTyamAne tu poyUzATaM
132521:0:  te: surAsurEH. pIyUzaDAraRArTAya nirmito viSvakarmaRA
132522:0:  te: kalAH kalAstu devAnAmapi tAstAH pfTak pfTak. yataH
132523:1:  te: kftAstu kalasAstataste parikIrttitAH' kAli0 pu0 87 a
132524:0:  te: pfzo0 sADanam.</vkr></vn> <vn>karmAdO sTApyaPalasamAnamuktaM SA0 ti
132525:0:  te: yaTA --<reN>paYcASadaNgulo vyAsaM utseDaH zoqaSANgulaH
132526:0:  te: kalasAnAM pramARantu muKamazwANgulaM matam. zawtriMSadaNgulaM
132527:1:  te: kumBaM vistAronnatiSAlinam. zoqaSaM dvAMdaSaM vApi tato
132528:2:  te: nyUnaM na kArayet'.</reN></vn> <vn>puzyABizeke kAlikApu
132529:1:  te: puzyABizeke sTApyaGawanAmaBedastatsTApanaprakAraSca tatrE
132530:1:  te: vADyAye yaTA <reN>`navEva kalasAH proktA nAmatastAnniboData
132531:0:  te: gohyopagohyo maruto mayUKaSca taTA'paraH. manohA kfzi
132532:2:  te: BadraSca vijayastanuSoDakaH. indriyaGnaro'Ta vijayo
132533:0:  te: navamaH parikIrttitaH. tezAmeva kramAdBUpa! nava
132534:0:  te: nAmAni yAni tu. SfRu. tAnyaparARyeva SAntidAni
132535:0:  te: sadEva hi. kzitIndraH praTamaH prokto dvitIyo jalasa
132536:0:  te: mBavaH. pavanAgnI tato dvO tu yajamAnastataH paraH
132537:0:  te: kozasamBavanAmA tu zazWaH sa parikIrttitaH. somastu
132538:0:  te: saptamaH proktaScAdityastu taTAzwamaH. vijayo nAma
132539:0:  te: kalaso yo'sO navama ucyate. sa tu paYcamuKaH prokto
132540:1:  te: mAhAdevasvarUpaDfk. Gawasya paYcavaktezu paYcavaktraH svayaM
132541:0:  te: taTA. yaTAkAzWaM sTitaH samyak vAmadevAdinAmataH
132542:0:  te: maRqalasya ca padmAntaH paYcavaktra GawaM nyaset. kzitIndraM
132543:0:  te: pUrvvato nyasya paScime jalasamBavam. vAyavye vAyavaM
132544:0:  te: nyasya Agneye hyagnisamBavam. nErftye yajamAnantu
132545:0:  te: ESAnyAM kozasamBavam. somamuttarato nyasya
132546:0:  te: sOraM dakziRato nyaset. nyasyEvaM kalasAMScEva tezu
132547:0:  te: cEtAn vicintayet. kalasAnAM muKe brahmA grIvAyAM
132548:0:  te: SaNkaraH sTitaH. mUle tu saMsTito vizRurmmaDye mAtfgaRAH
132549:0:  te: sTitAH. dikpAlA devatAH sarvve vezwayanti diSo
132550:1:  te: daSa. kukzO tu sAgarAH sapta sapta dvIpASca
132551:0:  te: saMsTitAH. nakzatrARi grahAH sarvve taTEva kula
132552:0:  te: parvvatAH. gaNgAdyAH saritaH sarvvA vedAScatvAra eva
132553:0:  te: ca. kalase saMsTitAH sarvve tezu tAni vicintayet
132554:0:  te: ratnAni sarvvavIjAni puzpARi ca PalAni ca. vajra
132555:0:  te: mOktikavEdUryyamahApadmendrasPAwikEH. sarvvaDAmamayaM
132556:0:  te: vilvaM nAgaroqumbaraM taTA. vIjapUrakajambIrakAmrA
132557:1:  te: mrAtakadAqimAn. yavaM SAliYca nIvAraM goDUmaM
132558:0:  te: sitasarzapam. kuNkumAgurukarpUramadanaM rocanaM taTA
132559:0:  te: candanaYca taTA mAMsImelAM kuzWaM taTEva ca. karpUrapatra
132560:0:  te: caRqaYca jalaM niryAsakAmbudam. SEleyaM vadaraM jAto
132561:0:  te: patrapuzpe taTEva ca. kAlaSAkaM taTA pfkvAM devIM parRakameva
132562:0:  te: ca. vacAM DAtrIM samaYjizWAM turuzkaM maNgalAzwakam
132563:0:  te: dUrvvAM mohanikAM BadrAM SatamUlIM SatAvarIm. parRAlIM
132564:0:  te: saralAM kzudrAM sahadevIM gajANkuSAm. pUrRakozAM
132565:0:  te: sitAM pAWAM guYjAM surasikAlasO. vyAmakaM gajadantaYca
132566:0:  te: SatapuzpAM punarRavAm. brAhmIM devIM SivAM rudrAM sarvvasa
132567:0:  te: nDAnikAM taTA. samAhftya SuBAnetAn kalasezu
132568:0:  te: niDApayet. kalasasya yaTA devAn viDiM SamBuM
132569:0:  te: gadADaram. yaTAkramaM pUjayitvA SamBuM muKyatayA
132570:0:  te: yajet. prAsAdena tu mantreRa SamButantreRa SaNkaram
132571:0:  te: praTamaM pUjayenmaDye nAnAnEvedyavedanEH
132572:1:  te: '</reN></vn> <vn>sarvvakarmmopayogikalasasTApanaviDiH rudrakalpe darSito yaTA
132573:1:  te: oM BUrasItimantreRa maRqalAtpUrvasyAM diSi BUmisparSaH
132574:0:  te: oM ozaDayaH samavanteti tatra DAnyapuYjIkaraRam. oM
132575:0:  te: citpatirmmA punAtviti saptaBirddarBapavitrEH kalasapavitrI
132576:0:  te: karaRam. oM AjiGreti DAnyapuYjopari kalasasTApanam
132577:0:  te: oM sTiroBaveti sTirIkaraRam. oM mahI dyOriti jalena
132578:0:  te: kalasapUraRam. oM yA ozaDIriti tatra sarvOzaDipra
132579:0:  te: kzepaH.oM vrIhayaSca ma iti DAnyam. oM hiraRya
132580:0:  te: garBa iti hiraRyam. oM aSvatTe va iti paYca pallavAn
132581:0:  te: oM kARqAtkARqAditi dUrvAH. oM syonA pfTivIti
132582:0:  te: paYca sapta vA mfdaSca dApayet. oM DAnyamasIti pUrRapAtre
132583:0:  te: DAnyaniDAnam. oM pUrRAdarvIti tasyEva pUrRapAtrasya kalaso
132584:0:  te: pariniDAnam. oM yAH PalinIriti pUrRapAtre nAri
132585:0:  te: kelAdiPalasTApanam. oM sujAta iti vAsoyugmena vAsa
132586:1:  te: sA vA pavitreRA vA kalasasaMvezwanam. tataH kalase gaNgAdyA
132587:1:  te: vAhanam'</reN> <reN>`imaM me gaNge! yamune! sarasvati! sitA'site
132588:1:  te: saritO! pAvakA naH sarasvatI. oM aSvAvatIrgomatIH
132589:0:  te: oM paYcanadyaH. oM `prapadye varuRaM devaM yAdasAMpatimISvaram
132590:1:  te: yAcitaM dehi me tIrTaM sarvapApApanuttaye'.</reN> <reN>oM `gaNge! tvaM
132591:0:  te: sarvatIrTAnAmASrayo'si yatastataH. yajamAnABizekArTamehi
132592:3:  te: pApaM vinASaya'.</reN> <reN>`tApani! yamune! devi! trizu
132593:0:  te: lokezu viSrute! yajamAnABizekArTamehi pApaM vinASaya
132594:0:  te: sarasvati! namastuByaM maheSvari! haripriye! yajamAnA
132595:2:  te: BizekArTamehi pApaM vyapoha vE' iti mantrEH oM kala
132596:0:  te: sasya muKe vizRurityAdikEH prasannoBava sarvadetyantErmantrE
132597:0:  te: ScAvAhanam. oM manojUtiritimantrAnte `kalasa! supra
132598:0:  te: tizWitoBaveti pratizWA. tatoganDAdiBiH kalasapUjanam
132599:1:  te: '</reN></vn> <vn>atra pratIkamAtraM pradarSitam samagramantrASca mat
132600:0:  te: kftatulAdAnAdipadDatO 22 pfzWAdO jYeyAH
132601:0:  te: atra SAKiBedAt mantraBedAstu tattadgranTe'vaDeyAH
132602:0:  te: navarAtre kalasasTApane viSezaH ni0 si0 ukto yaTA
132603:0:  te: BArgavArcanadIpikAyAM devIpurARe `tvAzwravEDftiyuktA
132604:2:  te: cet pratipannAmbikArcane. tayorante viDAtapyaM kala
132605:1:  te: sAropaRaM guheti'</reN> <reN>citrA `vEDftiyutApi dvitI
132606:1:  te: yAyutA cet sEva grAhyetyuktaM durgotmave.</reN> <reN>`BadrAnvitA cet
132607:1:  te: pratipattu laByate virudDayogErapi saNgatA satI. sEva
132608:0:  te: parAhRe vibuDErviDeyA strIputrarAjyAdivivfdDiheturiti
132609:1:  te: '</reN> yadA tu vEDftyAdiparihAreRa pratipanna laByate
132610:0:  te: tadoktaM tatrEva kAtyAyanena. <reN>`pratipadyASvine mAsi
132611:0:  te: Bavet vEDfticitrayoH. AdyapAdO parityajya prAraBenna
132612:1:  te: varAtrakamiti'.</reN> <reN>Bavizye'pi citrAvEDftisaMpUrRA
132613:0:  te: pratipaccedBavennfpa!.tyAjyA aMSAstrayastvAdyAsturIye
132614:2:  te: 'Se tu pUjanamiti'.</reN> <reN>rudrayAmale'pi `vEDftO putra
132615:0:  te: nASaH syAccitrAyAM DananASanam. tasmAnna sTApaye
132616:0:  te: tkumBaM citrAyAM vEDftO taTA. saMpUrRA pratipaddeva
132617:0:  te: citrAyuktA yadA Bavet. vEDftyA vApi yuktA syAttadA
132618:0:  te: maDyandine ravO. aBijittu muhUrttaM yattatra sTApanamizyate
132619:1:  te: '.</reN> <reN>`idaM kalasasTApanaM rAtrO na kAryyam. `na rAtrO sTApanaM
132620:2:  te: kAryyaM na ca kumBABizecanamiti'</reN> <reN>mAtsyokteH `BAska
132621:0:  te: rodayamAraBya yAvattu daSa nAqikAH. prAtaH kAla
132622:1:  te: iti proktaH sTApanAropaRAdizu' iti vizRu DarmokteSca
132623:0:  te: rudrayAmale `snAnaM mANgalikaM kftvA tato devIM
132624:0:  te: prapUjayet. SuBABirmfttikABiSca pUrvaM kftvA tu vedi
132625:0:  te: kAm. yavAnvE vApayettatra goDUmEScApi saMyutAn
132626:0:  te: tatra saMsTApayetkumBaM viDinA mantrapUrvakam. sOvarRaM
132627:1:  te: rAjataM vApi tAmraM mfRmayameva veti'.</reN> <reN>`kalasaM
132628:1:  te: jalasaM BftaM puraH' nEza0.</reN></vn><page>vp3_199.pdf</page><column>1</column><br/>
132629:0:  te:  %kalasi% strI <vkr><vg>kena lasati</vg> lasa--in.</vkr> (1)Gawe (2)pfSni
132630:0:  te: parRyAYca (cAkuliyA) hema0. <vkr>kfdikArAntatvAt vA NIp
132631:1:  te: kalasItyuBayatra</vkr> <reN>`alambitakarRaSazkulIkalasIkaM raca
132632:1:  te: yannavocata' nEza0. </reN></2><page>vp3_200.pdf</page><column>2</column><br/>
132633:0:  te:  %kalaha% puM na0 <vkr><vg>kalaM kAmaM hantyatra</vg> hana--bA0 ADAre qa. ardDa
132634:0:  te: rcAdi.</vkr> (1)vivAde vAgvivAde (JakqA) <reN>`kzattaH! putrezu putrErme
132635:1:  te: kalahona Bavizyati' BA0 A0 48.</reN> <reN>`na vivAde na
132636:1:  te: kalahe na senAyAM na saNgare' manuH.</reN> (2)yudDe amaraH
132637:1:  te: viDitsataH kalahamavekzya vidvizaH'</reN> <reN>`BAvikalaha
132638:1:  te: PalayogamasO' mAGaH.</reN></1><page>vp3_200.pdf</page><column>2</column><br/>
