128501:0:  te:  %karmmaRya% tri0 karmmaRA sampAdi yat. 1 karmmaRA sampanne SO
128502:0:  te: ryye si0 kO0. karmmaRi sADu yat. 2 karmakuSale si0 kO
128503:0:  te: yato vIraH karmaRyaH sudakzaH<q> f0 3,4,9. <q>akarmaRyaM
128504:0:  te: tiTimalaM vidyAdekAdaSIM vinA<q> ti0 ta0. 3 vetane strI
128505:0:  te: kzIrasvAmI. vetanena hi karmasADanAt tasya taTAtvam.<page>vp3_144.pdf</page><column>2</column><br/>
128506:5:  te:  %karmaRyaBuj% tri0 karmaRyAM vetanaM BuNle(Nkte) Buja--kvip 6ta
128507:0:  te: NyAporiti hrasvaH. vetanena karmakArake BaraRyaBugitya
128508:0:  te: marapAWAntaramiti kzIra0.<page>vp3_144.pdf</page><column>2</column><br/>
128509:0:  te:  %karmadeva% pu0 karmaRA devaH prAptadevaBAvaH. 1 trayastriMSaddevaBede
128510:0:  te: sa ekaH karmadevAnAmAnandaH ye karmaRA devAnapi yanti
128511:1:  te: Srotriyasya cAkAmahatasya te , ye Sata karmadevAnAmAnandAH
128512:0:  te: tE0 u0. <q>karmadevA ye vEdikenAgnihotrAdinA keva
128513:1:  te: lena devAnapi yanti, devA iti trayastriMSadDavirBujaH. indra
128514:0:  te: stezAM svAmI tasyAcAryyo bfhaspatiH. prajApati
128515:0:  te: rvirAwtrElokya SarIro brahmA samazwivyazwisvarUpaH
128516:0:  te: saMsAramaraRAnalavyApI<q> SANkara BA0. trayastriMSacca devAH
128517:0:  te: AnandagiriRA darSitAH. <q>azwO vasavaH ekAdaSa rudrAH
128518:0:  te: dvAdaSAdityAH indraH prajApatiSceti 2 karmaRA devalokaM
128519:0:  te: gate ca. <q>sa ekaH karmadevAnAmAnando ye karmaRA
128520:0:  te: devatvamaBisampadyante aTa ye SataM karmadevAnAmAnandAH
128521:0:  te: Sata0 brA0 147,1,35. ye agnihotrAdiSrOtrakarmaRA
128522:1:  te: devalokaM prAptuvanti te karmadevAH<q> BA
128523:0:  te: karmadevatA'pyatra strI. <q>jyotizwomAdinA svargaM prAptAH
128524:1:  te: syuH karmadevatAH<q> Sabdaci0. asmin kalpe'SvameDAdi
128525:0:  te: karma kftvA mahatpadam. avApyAjAnadevEryAH pUjyAstAH
128526:1:  te: karmadevatA<q> iti Sabdaci0 pu0.<page>vp3_144.pdf</page><column>2</column><br/>
128527:0:  te:  %karmmadoza% pu0 karmEva dozaH, karmmaRi dozaH karmaheturdozo vA
128528:0:  te: duzwe pApajanake hiMsAdO karmaRi. <q>saMnyasya
128529:0:  te: sarvakarmARi karmadozAnapAnudan<q> SarIrajEH karmadozEryAti
128530:0:  te: sTAvaratAM naraH<q> manuH. 2 karmmajanye pApAdO <q>manovA
128531:0:  te: gdehajErnityaM karmadozErna lipyate<q> manuH. <q>karmadozEH
128532:0:  te: pApEH<q> kullU0. vihitAkaraRAvihitAcaraRarUpe 3 karmaviza
128533:0:  te: yadoze ca. <q>avekzeta gatIrnFRAM karmadozasamudBavAH<q> manuH
128534:0:  te: vihitAkaraRAvihitAcaraRarUpakarmadozajanyA gatIH
128535:0:  te: kullU0. 6sakalakarmahetO miTyAjYAnajanyavAsanArUpe doze
128536:1:  te: ca. <q>duHKajanmapravfttidozamiTyAjYAnAnAm<q> ityAdi
128537:0:  te: gOta0 sU0 miTyAjYAnajanyavAsanArUpadozasya sakalapravftti
128538:0:  te: rUpakarmmahetutvoktestasya taTAtvam.<page>vp3_144.pdf</page><column>2</column><br/>
128539:0:  te:  %karmmaDAraya% pu0 vyAkaraRokte samAnADikaraRapadaGawite sa
128540:1:  te: mAsADInalakzaRASUnye samAsaBede <q>samAnADikaraRastat
128541:1:  te: puruzaH karmaDArayaH<q> pA0. tallakzaRAdikaM Sabda0 pa0 uktaM yaTA
128542:1:  te: kramikaM yannAmayugamekArTo'nyArTaboDakam. tAdA
128543:1:  te: tmyena, Bavedeza samAsaH karmaDArayaH. kramikaM yannAmadvayaM
128544:0:  te: tayorekasya nAmno'rTe DarmmiRi tAdAtmyenAparanAmno'rTa
128545:0:  te: syAnvayaboDaM prati samarTaM tAdfSaM nAmadvayaM karmaDArayaH nIlo
128546:3:  te: tpalamityAdAvutpalAdipadasyArTe nIlAdipadArTasya tAdAta
128547:3:  te: tmyOnAnvayaH, taTA puruzasiMha ityAdAvapi puruzAdAvuttara
128548:0:  te: padalakzyasya siMhAdisadfSasya puruzaH siMha ivetyAdi
128549:1:  te: vigrahe prAyeRopameyasyopamAnEriti karmaDArayAnuSAsanAt
128550:1:  te: kumBasya samIpamityAdyarTakastUpakumBAdirna tAdAtamyenA
128551:0:  te: nvayaboDakaH, prabalamapadravyamityAdeH saMgrahAya nAmapadasya
128552:0:  te: DAtuBinnopalakzakatvAt sArTakasAmAnyaparatve'pi kzatya
128553:0:  te: BAvAcca. nIlamutpalamityAdO tu samAnaviBaktikaM nAma
128554:0:  te: dvayaM svArTayoraBedAnvayaM boDayadapi na kramikaM viBaktyA
128555:1:  te: vyavaDAnAt. yadi ca tAdAtamyena nIlAdinAmArTasyAnvaya
128556:0:  te: budDO nIlAdinAmottaranAmopasTApyatvaM tantramato na tatrA
128557:0:  te: BedasambanDe na nIlAderanvayaH, parantu viSezaRaviBaktyupasTApite
128558:1:  te: tAdAtamya evADeyatvena, nIlaGawapawAvityAdO ca nIlapadAvya
128559:1:  te: vahitena GawapawetyevaM dvandvAtmakanAmnevosTApite Gawe pawe ca
128560:2:  te: nIlasya tAdAtmyenAnvayAnna vyaBicAraH. stoka pacati DAnyena
128561:1:  te: DanaM, prakftyA pawurityAdAvapiM stokAderna DAtvAdyarTe tAdA
128562:2:  te: mmenAnvayaH kintu dvitIyAdyarTe tAdAtmya evADeyatvenetyA
128563:0:  te: dikaM viBAvyate tadA kramikatvamanupAdeyameva. rAjapuruza
128564:1:  te: ityAdikastu tatpuruzo na pUrvapadalakzitarAjasambanDinastA
128565:4:  te: dAtmyenAnvayaboDakatva samAsavigrahayostulyArTakatvahAnyapa
128566:2:  te: tteH parantu rAjasambanDasyEva. ataeva rAjapuruza ityAdO
128567:1:  te: pUrvvapade zazWayarTasambanDe lakzaReti maRikfduktamapi saNgacCate
128568:0:  te: yaTA ca nAmArTayorBedenAnvaye'pi na kzatistaToparizwAdvakzya
128569:1:  te: te. kiYcidviSizwasubarTAnavacCinnasyEva vA tAdAtamyenA
128570:0:  te: nvayaboDakatvamuktaniruktO niveSyam. nacEvamapi paYca
128571:0:  te: pulyAdidvigO dvigArgyaM gacCata ityAdi sTalIye dvitayAdya
128572:0:  te: BinnagArgyAdiboDakAvyayIBAve cAtivyAptistadanyatvenApi
128573:0:  te: viSezaRIyatvAt. atra ca mAnuzabrAhmaRo brAhmaRamAnu
128574:3:  te: za ityAdyaprayogAdviSezaRaviSezyayoryatra miTastAdAtamyena
128575:2:  te: vyaBicArastatrEva karmaDArayaH sADuH prameyaDUma ityAdO tu
128576:1:  te: narasya SarIraM rAhoH Sira ityAdAviva tAdAtamyasambanDA
128577:1:  te: rTakazazWyA tatpuruza eveti vfdvAH. candanatarurvvinDyagiri
128578:2:  te: rvasantasamaya ityAdiprayogasya prAmARikatvAt viSezyasyEva
128579:0:  te: viSezaRavyaBicAritvaM karmaDAraye tantraM na tu viSezaRa
128580:2:  te: syApi tadvyaBicAritvam. puruzottama ityatra cottamatvaM na
128581:0:  te: nitya jYAnAdimattvaM kintu BramaviDuratvam. ataeva tatra
128582:2:  te: puruzasyeva, puruze'pi tasya vyaBicArasattvAduttamapuruza ityapi
128583:0:  te: karmaDArayaH sADuriti tu navyAH. tadAdyuttarapadakaH
128584:0:  te: karmaDArayaH prAyaSonezyate nIlatadastItyAditojAtvapi
128585:0:  te: nIlotpalAderastitvAdyapratIteH. <q>pakvayadBojanaM ramyamA
128586:0:  te: matadBaYjanaM vfTA. nIlayadrasa AsvAdyaH kawutadrUpamIkzyate
128587:0:  te: ityAdiprayogAt kvacidizyate'pi. prayuktaYca jumaranandinA
128588:1:  te: paramaH sa tyAdyarTe paramasaH paramatAvityAdi. tat
128589:2:  te: puruzo'pyetena vyAKyAtaH. nanu viSezyatayA nAmArTa
128590:1:  te: prakArakAnvayabudDimAtraM pratyeva nAmottaraviBaktyu pasTA
128591:1:  te: pyatvaM tantraM natu tAdAtamyasambanDAnavacCinnatatprakAratAka
128592:0:  te: budDiM prati gOravAdatonAmArTayornIlotpalayoranvayAsa
128593:0:  te: mBavAt karmaDArayAdikaH samAsona yOgikaH kintu nIlo
128594:0:  te: tpalatvAdiviSizwe rUQaeva taduktaM BarttfhariRA <q>abu
128595:0:  te: DAn pratyupAyASca vihitAH pratipattaye. SabdAntaratvAda
128596:0:  te: tyantaM BedovAkyasamAsayoH<q> iti vEyAkaraRAH, tanmandaM nI
128597:2:  te: lotpalamityAdO samudAye rUQApratisanDAne'pi nIlAdi
128598:2:  te: pratyekapadopasTityA tayostAdAtamyenAnvayaboDasyAnumavi
128599:1:  te: katvena gOravasya prAmARikatvAdanyaTA nAmArTasyAnvayaboDa
128600:0:  te: sAmAnyaM pratyeva nAmottaranAmopasTApyatvaM tantramurIkftya
128601:0:  te: nIlamAnayetyAdO nAmArTa subarTayornAnvayaboDaH parantu suba
128602:0:  te: ntaBAgasya nIlaviSizwakarmatvAdO rUQirevetyapi kinnaroca
128603:0:  te: yeH?. na ca samAsasyASaktatve nIlodravyaYca Gawa ityAdAviva
128604:1:  te: nIlaGawodravyamityAdAvApi GaweDarmiRyekatra dvayamiti
128605:1:  te: nyAyena nIladravyayostAdAtamyenAnvayApattiriti vAcyam
128606:0:  te: nAmArTasya muKyaviSezyatAka iva tAdAtmyAvicCinnaviDeyatA
128607:0:  te: ke'pi boDe nAmnaH praTamAntatvasya tantratvAt. viDeyatvantu
